index,Date,Time,Location,Operator,Type,Aboard,Fatalities,Ground,Summary,year,isMilitary,cleaned_summary,main_cause
121,1927-09-17,,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12.0,7.0,0.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,1927,False,"['sightseeing', 'plane', 'took', 'rose', 'ft', 'engine', 'failed', 'plane', 'stalled', 'plunged', 'ground', 'apple', 'orchard', 'engine', 'failure', 'pilot', 'familiar', 'type', 'aircraft']",Mechanical Failure
122,1927-09-22,,"Saale, Germany",Deutsche Lufthansa,BFW M-18,4.0,2.0,0.0,Engine failure.,1927,False,"['engine', 'failure']",Mechanical Failure
123,1927-09-23,10:00,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6.0,6.0,0.0,Broken wing strut.,1927,False,"['broken', 'wing', 'strut']",Unkown
125,1927-10-30,,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4.0,4.0,0.0,Went into a tailspin and crashed into a corn field,1927,False,"['went', 'tailspin', 'crashed', 'corn', 'field']",Unkown
132,1928-01-08,,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3.0,3.0,0.0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,1928,False,"['became', 'lost', 'dense', 'fog', 'flew', 'ground', 'mohawk', 'valley', 'proceeding', 'buffalo']",Weather Conditions
137,1928-02-26,,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,1928,False,"['air', 'mail', 'plane', 'crashed', 'grove', 'cottonwood', 'tree', 'burned', 'businessman', 'f', 'h', 'craig', 'killed', 'pilot', 'frank', 'yegar', 'injured', 'pilot', 'descended', 'altitude', 'due', 'air', 'pocket', 'plane', 'ran', 'air', 'pocket', 'brought', 'plane', 'grove', 'tree']",Pilot Error
141,1928-04-19,,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9.0,9.0,0.0,Crashed in fog.,1928,False,"['crashed', 'fog']",Weather Conditions
144,1928-05-26,,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,5.0,3.0,0.0,Pilot error.,1928,False,"['pilot', 'error']",Pilot Error
146,1928-06-22,,"Lebo, Kansas",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane flew into tornado like winds and crashed to the ground.,1928,False,"['mail', 'plane', 'flew', 'tornado', 'like', 'wind', 'crashed', 'ground']",Unkown
148,1928-07-13,,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4.0,4.0,0.0,Crashed to the ground shortly after taking off killing two men and two women.,1928,False,"['crashed', 'ground', 'shortly', 'taking', 'killing', 'two', 'men', 'two', 'woman']",Unkown
149,1928-07-24,,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1.0,1.0,0.0,The plane crashed into the Waalhaven harbor.,1928,False,"['plane', 'crashed', 'waalhaven', 'harbor']",Unkown
150,1928-08-25,,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7.0,7.0,0.0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.,1928,False,"['crashed', 'puget', 'sound', 'dense', 'fog', 'considered', 'first', 'canadian', 'air', 'disaster']",Weather Conditions
152,1928-09-04,,"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,2.0,1.0,0.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",1928,False,"['following', 'conclusion', 'aerial', 'tour', 'carrying', 'sir', 'john', 'salmond', 'aircraft', 'departed', 'adelaide', 'piloted', 'c', 'w', 'scott', 'engineer', 'passenger', 'control', 'lost', 'cloud', 'attempt', 'cross', 'adelaide', 'hill', 'aircraft', 'crashed', 'caught', 'fire']",Collision/Geographical
154,1928-09-06,,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3.0,3.0,0.0,Engine failure.,1928,False,"['engine', 'failure']",Mechanical Failure
156,1928-10-18,,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed and burned during the night.,1928,False,"['mail', 'plane', 'crashed', 'burned', 'night']",Unkown
159,1928-11-24,,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm.,1928,False,"['mail', 'plane', 'crashed', 'heavy', 'snow', 'storm']",Weather Conditions
160,1928-11-25,,"Bristolville, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed in a snow storm.,1928,False,"['mail', 'plane', 'crashed', 'snow', 'storm']",Weather Conditions
161,1928-11-25,,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm,1928,False,"['mail', 'plane', 'crashed', 'heavy', 'snow', 'storm']",Weather Conditions
162,1928-12-01,10:00,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5.0,5.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,1928,False,"['aircraft', 'crashed', 'burned', 'en', 'route', 'flame', 'seen', 'aboard', 'plane', 'crashed']",Unkown
163,1928-12-03,08:00,Brazil,Syndicato Condor,Dornier Wal,14.0,14.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",1928,False,"['seaplane', 'took', 'form', 'bay', 'narrowly', 'avoided', 'collision', 'another', 'plane', 'process', 'veered', 'sharply', 'abruptly', 'one', 'wing', 'strained', 'beyond', 'elastilimits', 'pilot', 'lost', 'control', 'aircraft', 'fell', 'tail', 'spinning', 'foot', 'water', 'one', 'engine', 'exploded', 'impact', 'sunk', 'immediately']",Pilot Error
165,1928-12-11,,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,4.0,3.0,0.0,Weather related.,1928,False,"['weather', 'related']",Weather Conditions
166,1928-12-20,,"Huron, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,The mail plane crashed into an apple tree during a snow storm.,1928,False,"['mail', 'plane', 'crashed', 'apple', 'tree', 'snow', 'storm']",Weather Conditions
167,1928-12-23,,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4.0,4.0,0.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,1928,False,"['crashed', 'onto', 'roof', 'garage', 'takeoff', 'burst', 'flame', 'motor', 'may', 'warmed', 'enough']",Unkown
168,1928-12-31,,"Reims, France",CIDNA,Blériot Spad 66,3.0,2.0,0.0,Crashed into high ground in fog.,1928,False,"['crashed', 'high', 'ground', 'fog']",Weather Conditions
170,1929-01-18,,"Cove, Oregon",Varney Air Lines,Stearman C-38,1.0,1.0,0.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder,1929,False,"['attempting', 'make', 'emergency', 'landing', 'minam', 'river', 'plane', 'hit', 'bolder']",Unkown
174,1929-03-17,,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15.0,14.0,0.0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,1929,False,"['plane', 'making', 'last', 'number', 'sightseeing', 'flight', 'one', 'three', 'engine', 'failed', 'plane', 'went', 'control', 'altitude', 'ft', 'crashed', 'railroad', 'freight', 'car', 'engine', 'failure']",Mechanical Failure
175,1929-03-30,09:18,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4.0,4.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",1929,False,"['aircraft', 'crashed', 'high', 'mountain', 'ridge', 'exploding', 'impact', 'investigator', 'speculated', 'upon', 'encountering', 'fog', 'wind', 'treacherous', 'mountain', 'pas', 'pilot', 'may', 'turned', 'airliner', 'around', 'heading', 'back', 'airport', 'crash', 'occurred']",Collision/Geographical
179,1929-06-10,,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,5.0,2.0,0.0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.,1929,False,"['crashed', 'taking', 'muddy', 'field', 'prevented', 'aircraft', 'gaining', 'altitude', 'plane', 'hit', 'telephone', 'wire', 'crashed']",Unkown
181,1929-06-17,,"Off Dungeness, England",Imperial Airways,Handley Page W-10,13.0,7.0,0.0,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.',1929,False,"['plane', 'english', 'channel', 'engine', 'failed', 'pilot', 'tried', 'return', 'airport', 'plane', 'ditched', 'english', 'channel', 'plane', 'named', 'city', 'ottawa']",Pilot Error
182,1929-06-24,,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8.0,1.0,0.0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.,1929,False,"['crashed', 'near', 'indian', 'mound', 'park', 'shortly', 'taking', 'triple', 'engine', 'failure']",Mechanical Failure
183,1929-06-29,,"Lake Constance, Switzerland",Aero Lloyd,Domier Delphin III,5.0,5.0,0.0,The aircraft crashed into lake Constance while attempting to landing.,1929,False,"['aircraft', 'crashed', 'lake', 'constance', 'attempting', 'landing']",Unkown
188,1929-08-24,,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,5.0,4.0,0.0,Weather related.,1929,False,"['weather', 'related']",Weather Conditions
189,1929-09-02,,"Needles, California",Associated Aviators,Lockheed Vega,2.0,1.0,0.0,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.,1929,False,"['plane', 'crashed', 'going', 'tail', 'spin', 'mechaniwas', 'able', 'parachute', 'safety']",Unkown
190,1929-09-03,c: 1:00,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8.0,8.0,0.0,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.',1929,False,"['crashed', 'thunderstorm', 'struck', 'lightning', 'plane', 'named', 'city', 'san', 'francisco']",Collision/Geographical
191,1929-09-06,,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,5.0,3.0,0.0,The mail plane caught fire after crash landing.,1929,False,"['mail', 'plane', 'caught', 'fire', 'crash', 'landing']",Unkown
194,1929-09-17,,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,The mail plane crashed into Mt. Lamentation and burst into flames.,1929,False,"['mail', 'plane', 'crashed', 'mt', 'lamentation', 'burst', 'flame']",Unkown
192,1929-09-17,,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5.0,5.0,0.0,Crashed into the Mediterranean.,1929,False,"['crashed', 'mediterranean']",Unkown
193,1929-09-17,,"Jacumba, California",Pickwick Airways,Fairchild 71,2.0,1.0,0.0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.,1929,False,"['mail', 'plane', 'crashed', 'hillside', 'desert', 'attempting', 'make', 'emergency', 'landing', 'storm']",Weather Conditions
195,1929-10-26,,"Off Spezia, Italy",Imperial Airways,Short Calcutta,7.0,7.0,0.0,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.',1929,False,"['aircraft', 'ditched', 'ocean', 'encountering', 'gale', 'force', 'wind', 'sank', 'tow', 'plane', 'named', 'city', 'rome']",Unkown
196,1929-10-29,,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1.0,1.0,0.0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.,1929,False,"['mail', 'plane', 'crashed', 'grove', 'tree', 'mile', 'southwest', 'mount', 'vernon']",Unkown
197,1929-10-31,,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2.0,2.0,0.0,The air taxi crashed into Puget Sound as it attempted to take off.,1929,False,"['air', 'taxi', 'crashed', 'puget', 'sound', 'attempted', 'take']",Unkown
198,1929-11-04,07:00,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4.0,4.0,0.0,The mail plane crashed in dense fog.,1929,False,"['mail', 'plane', 'crashed', 'dense', 'fog']",Weather Conditions
199,1929-11-06,,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8.0,7.0,0.0,Crashed in heavy rain and fog while attempting to land.,1929,False,"['crashed', 'heavy', 'rain', 'fog', 'attempting', 'land']",Weather Conditions
200,1929-11-15,,"Off Corsica, France",Air Union,Liore et Olivier 190,3.0,3.0,0.0,Crashed into the Mediterranean in fog.,1929,False,"['crashed', 'mediterranean', 'fog']",Weather Conditions
201,1929-11-30,,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1.0,1.0,0.0,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.,1929,False,"['mail', 'plane', 'crashed', 'fog', 'bound', 'tower', 'interstate', 'bridge', 'spanning', 'columbia', 'river']",Weather Conditions
202,1929-12-02,,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1.0,1.0,0.0,The mail plane crashed en route during a storm.,1929,False,"['mail', 'plane', 'crashed', 'en', 'route', 'storm']",Weather Conditions
204,1929-12-19,,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,3.0,2.0,0.0,Forced landing 40 miles from Berlin.,1929,False,"['forced', 'landing', 'mile', 'berlin']",Unkown
205,1929-12-30,,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5.0,5.0,0.0,Crashed on approach onto a golf course.,1929,False,"['crashed', 'approach', 'onto', 'golf', 'course']",Unkown
206,1930-01-10,,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1.0,1.0,0.0,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.,1930,False,"['airmail', 'plane', 'crash', 'landed', 'burst', 'flame', 'farm', 'fog', 'snow', 'attempting', 'make', 'emergency', 'landing']",Weather Conditions
208,1930-01-19,18:23,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16.0,16.0,0.0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",1930,False,"['en', 'route', 'los', 'angeles', 'pilot', 'flying', 'low', 'altitude', 'due', 'poor', 'weather', 'condition', 'tried', 'turn', 'back', 'left', 'turn', 'left', 'wing', 'struck', 'hill', 'crashed', 'burned', 'adverse', 'weather', 'condition', 'plane', 'flew', 'sudden', 'squall', 'cause', 'pilot', 'lose', 'control']",Weather Conditions
210,1930-01-27,17:30,"Kansas City, Kansas",Central  Airlines,Travel Air A6000A,5.0,5.0,0.0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.",1930,False,"['preparing', 'land', 'plane', 'side', 'slipped', 'dived', 'ground', 'height', 'ft', 'caught', 'fire', 'quickly', 'body', 'removed', 'hastily', 'mustered', 'crew', 'pilot', 'mechanic', 'universal', 'airline', 'central', 'airline', 'began', 'removing', 'evidence', 'accident', 'savagely', 'fighting', 'reporter', 'photographer', 'worked']",Pilot Error
211,1930-02-03,,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,While attempting to land the plane struck a building and fell into the Connecticut river.,1930,False,"['attempting', 'land', 'plane', 'struck', 'building', 'fell', 'connecticut', 'river']",Collision/Geographical
213,1930-04-18,c:17:00,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4.0,4.0,0.0,Crashed into power lines 150 feet above the ground in fog.,1930,False,"['crashed', 'power', 'line', 'foot', 'ground', 'fog']",Weather Conditions
215,1930-06-05,,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15.0,1.0,0.0,Crashed into Boston Harbor after loosing the right  engine on takeoff.,1930,False,"['crashed', 'boston', 'harbor', 'loosing', 'right', 'engine', 'takeoff']",Mechanical Failure
216,1930-07-07,,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8.0,5.0,0.0,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave.",1930,False,"['flying', 'boat', 'landed', 'storm', 'open', 'ocean', 'due', 'engine', 'failure', 'three', 'hour', 'plane', 'capsized', 'large', 'wave']",Weather Conditions
217,1930-07-10,,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5.0,5.0,0.0,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms.",1930,False,"['aircraft', 'exploded', 'air', 'altitude', 'foot', 'shortly', 'taking', 'plane', 'flying', 'area', 'fog', 'thunderstorm']",Weather Conditions
218,1930-08-22,,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11.0,10.0,0.0,"Crashed while the pilot attempted to make an  emergency landing in fog, during a storm.",1930,False,"['crashed', 'pilot', 'attempted', 'make', 'emergency', 'landing', 'fog', 'storm']",Weather Conditions
220,1930-09-25,,"Southesk, Saskatchewan, Canada",Western Canada Airways,,3.0,3.0,0.0,The air mail plane crashed in fog  while en route.,1930,False,"['air', 'mail', 'plane', 'crashed', 'fog', 'en', 'route']",Weather Conditions
222,1930-10-06,09:45,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8.0,8.0,0.0,Crashed into hill while attempting to land.,1930,False,"['crashed', 'hill', 'attempting', 'land']",Collision/Geographical
223,1930-10-12,,"La Rache, Morocco",Aeropostale,Latecoere 28,4.0,4.0,0.0,The french postal plane crashed into mountains.,1930,False,"['french', 'postal', 'plane', 'crashed', 'mountain']",Collision/Geographical
225,1930-10-30,,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6.0,3.0,0.0,Crashed into high ground in fog after losing an engine. The plane was named 'City of Washington.',1930,False,"['crashed', 'high', 'ground', 'fog', 'losing', 'engine', 'plane', 'named', 'city', 'washington']",Weather Conditions
226,1930-10-30,,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.,1930,False,"['developing', 'engine', 'trouble', 'pilot', 'tried', 'parachute', 'plane', 'parachute', 'got', 'caught', 'plane', 'pilot', 'dragged', 'death']",Pilot Error
227,1930-11-07,,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9.0,1.0,0.0,Crashed into the sea.,1930,False,"['crashed', 'sea']",Unkown
228,1930-11-18,c: 2:00,"Techachapi Mountains, California",PacifiAir Transport,Boeing 40,3.0,3.0,,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",1930,False,"['crashed', 'mountainside', 'altitude', 'foot', 'snowstorm']",Unkown
229,1930-12-09,,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6.0,4.0,0.0,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'.,1930,False,"['lower', 'right', 'wing', 'aircraft', 'hit', 'mast', 'river', 'boat', 'plane', 'flipped', 'back', 'crashed', 'onto', 'river', 'bank', 'aircraft', 'named', 'shanghai']",Unkown
231,1931-01-22,,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1.0,1.0,0.0,The mail plane flew into Bluff Mountain in dense fog.,1931,False,"['mail', 'plane', 'flew', 'bluff', 'mountain', 'dense', 'fog']",Weather Conditions
233,1931-02-20,,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,3.0,2.0,0.0,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident.",1931,False,"['plane', 'carrying', 'mail', 'crashed', 'field', 'turned', 'burst', 'flame', 'heavy', 'fog', 'area', 'accident']",Weather Conditions
235,1931-03-21,,"New South Wales, Australia",Australian National Airways,Avro 10,8.0,8.0,0.0,Wreckage found 10/26/1958.,1931,False,"['wreckage', 'found']",Unkown
236,1931-03-31,10:45,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8.0,8.0,0.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",1931,False,"['shortly', 'taking', 'kansa', 'city', 'one', 'aircraft', 'wing', 'separated', 'flight', 'penetrating', 'thunderstorm', 'experiencing', 'strong', 'turbulence', 'icing', 'plane', 'crashed', 'wheat', 'field', 'wing', 'aileron', 'flutter', 'brought', 'moisture', 'leaking', 'wing', 'interior', 'weakening', 'glue', 'bonded', 'wooden', 'spar', 'notre', 'dame', 'football', 'coach', 'knute', 'rockne', 'killed']",Weather Conditions
237,1931-04-14,,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,10.0,2.0,0.0,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.,1931,False,"['fuselage', 'failure', 'four', 'seriously', 'injured', 'pilot', 'radio', 'operator', 'killed']",Pilot Error
238,1931-05-05,23:30,"Burbank, California",PacifiAir Transport,Boeing 40,2.0,2.0,0.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,1931,False,"['mail', 'plane', 'crashed', 'la', 'tuna', 'canyon', 'attempting', 'land', 'burbank', 'airport', 'dense', 'fog']",Weather Conditions
